"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"V2" 6.97687529680323 3.9494873384286 6.75309627245049 7.18792404558722 6.51180862576622 6.18305198836516 6.05660303906593 6.64344700990509 4.49090749965816
"V3" 1.13737360985445 3.92827702015104 1.37475490092132 1.20468588535598 1.99254169131015 2.18876155725469 2.32725190602891 2.06562716315687 3.63620708347534
"V4" 6.23008455077892 5.93854900716617 9.98367809188345 5.65832262251338 9.98412306185422 9.98387882196152 5.7781772224099 9.97446999361348 5.9004682575589
"V5" 8.03506145817267 8.00031319567502 3.91290402925083 8.00026687426858 3.79870523183701 3.82515601802299 7.98145971665471 3.91877495501742 8.01605087247305
"V6" 10.1795243226372 10.907165169305 11.530022586824 10.9034801692314 9.11312638757707 9.56163814839386 8.96451575413938 9.54452818509508 10.3542031795348
"V7" 12.1014519088347 11.8870874717476 11.919674862662 11.8989425840274 13.7899433582362 13.0010307935622 14.4426036688546 12.95585207218 12.4701847920848
"V8" 16.8117331167829 14.0625347920421 16.8087394553655 14.9534970785168 14.0632270331935 15.0440530540685 14.1439512559266 15.5549150662892 15.5086734598425
"V9" 13.3314128095854 15.9822526482404 13.2484502186724 15.0814027516505 15.9668948729031 15.1179433401402 16.0007881866685 14.7201724724899 14.7609160957785
"V10" 18.1200427252038 17.1099188688656 16.3110266370661 13.6753499974868 17.1229599401868 14.0193007396178 17.8433479126847 13.5716498290005 13.61277347857
"V11" 14.7761793743424 14.8742124621201 15.3083734892972 17.9230200844861 14.8579276761617 17.0901651380206 14.786116233224 19.1691908856793 18.4931590324841
"V12" 13.9897467224324 14.0009793068545 13.9901704924667 13.9982830288309 14.0298727595317 13.9365318765043 13.9922072407326 13.9697366388175 13.9727191032556
"V13" 12.1133016612443 14.4431647407045 13.2551904853598 14.9493980908778 14.0802013818548 17.0969689340715 12.7702767344361 12.2247182312918 12.6650156203034
"V14" 13.0684206929609 12.8551926421905 12.2523665462612 12.7636660319824 12.7431857192021 11.8691653827867 12.0950193705749 12.7426690586058 11.8368262596288
"V15" 10.2060925504097 8.56712478839837 10.5345339270765 8.0485643837852 8.99197365889556 8.10980375420508 11.2606595031208 11.4041753297214 11.9853551851925
